language,sent_index,baseline,ic_metric,ic_objective,length,real_dl,real_ic,delta_used,n_dl_matched,p_good,frac_lt,frac_eq,frac_gt,matched_ic_mean,matched_ic_median,diff_real_minus_matched_mean
English,34,projective_like,content,max,12,43,20.0,1,147,0.8435374149659864,0.8435374149659864,0.047619047619047616,0.10884353741496598,15.19047619047619,15.0,4.80952380952381
English,35,projective_like,content,max,12,33,7.0,0,196,0.23979591836734693,0.23979591836734693,0.20408163265306123,0.5561224489795918,8.198979591836734,8.0,-1.1989795918367339
English,36,projective_like,content,max,12,21,8.0,0,281,0.9323843416370107,0.9323843416370107,0.06761565836298933,0.0,5.540925266903915,6.0,2.4590747330960854
English,37,projective_like,content,max,12,31,15.0,0,277,0.8989169675090253,0.8989169675090253,0.07581227436823104,0.02527075812274368,12.202166064981949,12.0,2.797833935018051
English,38,projective_like,content,max,12,27,9.0,0,325,0.7507692307692307,0.7507692307692307,0.2123076923076923,0.036923076923076927,7.584615384615384,8.0,1.4153846153846157
English,39,projective_like,content,max,12,25,7.0,0,469,0.17270788912579957,0.17270788912579957,0.15991471215351813,0.6673773987206824,8.211087420042643,8.0,-1.2110874200426434
English,40,projective_like,content,max,12,27,7.0,0,287,0.08013937282229965,0.08013937282229965,0.26480836236933797,0.6550522648083623,7.912891986062718,8.0,-0.9128919860627178
English,41,projective_like,content,max,12,29,13.0,0,267,0.8052434456928839,0.8052434456928839,0.12734082397003746,0.06741573033707865,11.441947565543071,11.0,1.558052434456929
English,42,projective_like,content,max,12,23,5.0,0,119,0.4117647058823529,0.4117647058823529,0.4369747899159664,0.15126050420168066,4.647058823529412,5.0,0.35294117647058787
English,44,projective_like,content,max,12,33,12.0,0,95,0.9894736842105263,0.9894736842105263,0.010526315789473684,0.0,9.536842105263158,10.0,2.4631578947368418
English,45,projective_like,content,max,12,27,11.0,0,137,0.35766423357664234,0.35766423357664234,0.5547445255474452,0.08759124087591241,10.627737226277372,11.0,0.3722627737226283
English,46,projective_like,content,max,12,30,5.0,0,247,0.1700404858299595,0.1700404858299595,0.4898785425101215,0.340080971659919,5.165991902834008,5.0,-0.16599190283400844
English,47,projective_like,content,max,12,29,13.0,0,295,0.5728813559322034,0.5728813559322034,0.30847457627118646,0.11864406779661017,12.277966101694915,12.0,0.7220338983050851
English,48,projective_like,content,max,12,24,8.0,0,165,0.7090909090909091,0.7090909090909091,0.2909090909090909,0.0,7.036363636363636,7.0,0.9636363636363638
English,49,projective_like,content,max,12,29,11.0,0,353,0.3002832861189802,0.3002832861189802,0.21813031161473087,0.48158640226628896,11.427762039660056,11.0,-0.4277620396600561
Hindi,0,projective_like,content,max,12,22,5.0,0,286,0.4230769230769231,0.4230769230769231,0.486013986013986,0.09090909090909091,4.590909090909091,5.0,0.40909090909090917
Hindi,1,projective_like,content,max,12,22,9.0,0,234,0.6282051282051282,0.6282051282051282,0.3717948717948718,0.0,8.021367521367521,8.0,0.9786324786324787
Hindi,2,projective_like,content,max,12,24,11.0,0,341,0.8592375366568915,0.8592375366568915,0.12023460410557185,0.020527859237536656,8.700879765395895,9.0,2.2991202346041053
Hindi,3,projective_like,content,max,12,15,4.0,2,80,0.3125,0.3125,0.3875,0.3,4.025,4.0,-0.025000000000000355
Hindi,5,projective_like,content,max,12,17,5.0,1,226,0.8495575221238938,0.8495575221238938,0.11946902654867257,0.030973451327433628,3.1991150442477876,3.0,1.8008849557522124
Hindi,6,projective_like,content,max,12,20,7.0,0,178,0.3146067415730337,0.3146067415730337,0.5337078651685393,0.15168539325842698,6.803370786516854,7.0,0.19662921348314644
Hindi,7,projective_like,content,max,12,20,4.0,0,147,0.5034013605442177,0.5034013605442177,0.38095238095238093,0.11564625850340136,3.421768707482993,3.0,0.5782312925170068
Hindi,8,projective_like,content,max,12,18,5.0,0,127,0.23622047244094488,0.23622047244094488,0.5826771653543307,0.18110236220472442,4.94488188976378,5.0,0.055118110236220375
Hindi,9,projective_like,content,max,12,30,4.0,0,328,0.7103658536585366,0.7103658536585366,0.25609756097560976,0.03353658536585366,3.0091463414634148,3.0,0.9908536585365852
Hindi,10,projective_like,content,max,12,17,5.0,1,170,0.18235294117647058,0.18235294117647058,0.5764705882352941,0.2411764705882353,4.970588235294118,5.0,0.02941176470588225
Hindi,11,projective_like,content,max,12,19,6.0,1,254,0.5787401574803149,0.5787401574803149,0.2874015748031496,0.13385826771653545,5.188976377952756,5.0,0.8110236220472444
Hindi,12,projective_like,content,max,12,23,10.0,0,333,0.7537537537537538,0.7537537537537538,0.22822822822822822,0.018018018018018018,8.67867867867868,9.0,1.3213213213213209
Hindi,13,projective_like,content,max,12,22,7.0,0,203,0.4236453201970443,0.4236453201970443,0.39408866995073893,0.18226600985221675,6.70935960591133,7.0,0.29064039408866993
Hindi,14,projective_like,content,max,12,16,2.0,1,108,0.08333333333333333,0.08333333333333333,0.49074074074074076,0.42592592592592593,2.4814814814814814,2.0,-0.4814814814814814
Hindi,15,projective_like,content,max,12,23,6.0,0,370,0.24594594594594596,0.24594594594594596,0.35945945945945945,0.3945945945945946,6.243243243243243,6.0,-0.24324324324324298
Hindi,17,projective_like,content,max,12,38,2.0,0,199,0.21105527638190955,0.21105527638190955,0.7889447236180904,0.0,1.7839195979899498,2.0,0.2160804020100502
Hindi,18,projective_like,content,max,12,31,13.0,0,273,0.8827838827838828,0.8827838827838828,0.10256410256410256,0.014652014652014652,11.007326007326007,11.0,1.9926739926739927
Hindi,19,projective_like,content,max,12,25,9.0,0,367,0.49318801089918257,0.49318801089918257,0.33787465940054495,0.16893732970027248,8.520435967302452,9.0,0.47956403269754766
Hindi,20,projective_like,content,max,12,23,5.0,0,252,0.27380952380952384,0.27380952380952384,0.5357142857142857,0.19047619047619047,4.865079365079365,5.0,0.13492063492063533
Hindi,21,projective_like,content,max,12,33,14.0,0,162,0.7098765432098766,0.7098765432098766,0.19135802469135801,0.09876543209876543,12.833333333333334,13.0,1.166666666666666
Hindi,22,projective_like,content,max,12,34,16.0,0,147,0.891156462585034,0.891156462585034,0.10884353741496598,0.0,11.299319727891156,11.0,4.700680272108844
Hindi,23,projective_like,content,max,12,23,4.0,0,308,0.04220779220779221,0.04220779220779221,0.19805194805194806,0.7597402597402597,4.85064935064935,5.0,-0.8506493506493502
Hindi,24,projective_like,content,max,12,24,8.0,0,186,0.3010752688172043,0.3010752688172043,0.543010752688172,0.15591397849462366,7.838709677419355,8.0,0.16129032258064502
Hindi,25,projective_like,content,max,12,17,4.0,1,153,0.5032679738562091,0.5032679738562091,0.43137254901960786,0.06535947712418301,3.5555555555555554,3.0,0.44444444444444464
Hindi,26,projective_like,content,max,12,44,19.0,1,93,0.6021505376344086,0.6021505376344086,0.26881720430107525,0.12903225806451613,18.21505376344086,18.0,0.78494623655914
Hindi,31,projective_like,content,max,12,28,6.0,0,348,0.21264367816091953,0.21264367816091953,0.25862068965517243,0.5287356321839081,6.57183908045977,7.0,-0.5718390804597702
Hindi,32,projective_like,content,max,12,17,4.0,1,156,0.7435897435897436,0.7435897435897436,0.2564102564102564,0.0,3.0576923076923075,3.0,0.9423076923076925
Hindi,33,projective_like,content,max,12,22,7.0,0,216,0.22685185185185186,0.22685185185185186,0.375,0.39814814814814814,7.199074074074074,7.0,-0.1990740740740744
