length,pair,avg_pos_kl,per_pos
10,hi->ja,0.8032462269276198,"[0.3962119786454598, 2.207885358656612, 0.16630978729105106, 0.19604613261875833, 1.181431538741736, 1.0051472703388113, 1.1404980165943683, 0.26972926854540347, 1.1316215586451488, 0.3375813591988479]"
11,en->hi,2.670682204542056,"[1.7042060259160052, 0.7716173031969191, 0.7287203938933674, 0.4032682123308098, 0.3101486340809572, 0.521415231575038, 0.5195459564544855, 0.9781681622990368, 2.5311158730190284, 19.447556729877284, 1.4617417273196827]"
11,en->ja,2.7005305252842837,"[1.0356588323019873, 1.9190700596589483, 0.8546521213011105, 3.5551067324895578, 0.8672206552691193, 5.493695208142785, 4.874543496626961, 5.38758971729373, 4.886741800569386, 0.6558178481705007, 0.17573930630303553]"
11,hi->ja,0.8215376701194426,"[0.39975729709683355, 1.5969441736056114, 0.1786872503965113, 1.626779895638208, 0.3056102501676566, 1.4797796045878182, 1.1870482071482034, 0.8927364401911246, 0.33043611654791966, 0.767222578753734, 0.27191255718024676]"
12,en->hi,1.558655740485783,"[1.8977013520951547, 0.6868016778510011, 0.49941402949702424, 0.31461512526687085, 0.3053714272660383, 0.15266184676009784, 0.31833868765659773, 0.3839535497247982, 0.9156968298107548, 6.777840103054398, 5.131517679112646, 1.3199565777340134]"
12,en->ja,1.9138523557354883,"[0.6367356589821032, 0.8522134809427638, 1.2746390906667826, 1.142566010159038, 1.82140761518327, 2.209856557870928, 2.856189030252406, 3.8072228830270975, 0.8115759195490769, 6.5545665722876105, 0.7539076461312184, 0.2453478037735654]"
12,hi->ja,0.5550366442916421,"[0.2990777528972283, 0.17615884998911327, 0.2160441909277861, 1.0528240932116293, 0.8058927353477525, 0.6716875125911078, 0.7651579089471849, 0.8540073373256808, 0.34519291829827864, 0.3864616015581158, 0.8591210432977097, 0.22881378710811914]"
13,en->hi,0.9215211403293982,"[1.4402700909589956, 0.47077688266041023, 0.37370520827591464, 0.3695605660317707, 0.282186269564423, 0.21176902081920124, 0.3399950716666085, 0.32042700069369046, 0.394366071137225, 0.7223501824801493, 2.0102199866663435, 4.352336952646539, 0.6918115206809081]"
13,en->ja,2.693751541307833,"[1.0465582785825784, 0.7809113462774211, 0.7243672905022648, 1.3648313645913936, 1.8617943017795777, 5.052841473384364, 2.122026454813981, 5.057301313128356, 4.020687671473599, 5.230720615298589, 6.854604901211376, 0.7901481782703431, 0.11197684768798484]"
13,hi->ja,0.8529154457536207,"[0.43563610233371153, 0.5898900159512722, 0.5464653726780112, 0.4716103199460282, 0.5402203053952456, 2.246762373791021, 0.9329424299172829, 1.7919066012785458, 0.9506022035928666, 1.1757247024730255, 0.523719378994952, 0.6933073327686108, 0.18911365567649333]"
14,en->hi,1.0616638059850207,"[1.7262053298126543, 0.6005936933332342, 0.4727697505888032, 0.3414020644604092, 0.20917044414834857, 0.1747160745423774, 0.2906328898830894, 0.19669188892698686, 0.2990666988233439, 0.7982202739383231, 1.9570108015091359, 1.681868083982179, 4.229544812991015, 1.8854004768503907]"
14,en->ja,1.7898540662315146,"[1.0259712311460338, 2.697582504573983, 0.9953397755697231, 0.7794248341847414, 0.5427998354023268, 1.9356396926402855, 2.7373287071534573, 1.6578114795823595, 2.286161056345064, 1.9255534910503065, 1.8254396947633387, 4.3241815291477455, 0.982473320758767, 1.34224977492307]"
14,hi->ja,0.5947633535539263,"[0.3140039576775453, 1.3833825300296272, 0.2587791829294648, 0.14836062491371807, 0.18769656875733573, 0.5269716214385698, 1.29010924586265, 1.2859462673712236, 0.7230639575020489, 0.6104728350175138, 0.30208858181561987, 0.5198302793643015, 0.5755459805402998, 0.2004353165350505]"
